,n_225,topix,jasdaq_20
0,1332.T,1301.T,1407.T
1,1333.T,1332.T,2138.T
2,1605.T,1333.T,2362.T
3,1721.T,1352.T,2656.T
4,1801.T,1375.T,2702.T
5,1802.T,1376.T,2706.T
6,1803.T,1377.T,2782.T
7,1808.T,1379.T,3858.T
8,1812.T,1384.T,4080.T
9,1925.T,1413.T,4293.T
10,1928.T,1414.T,4667.T
11,1963.T,1417.T,4970.T
12,2002.T,1419.T,6324.T
13,2269.T,1420.T,6425.T
14,2282.T,1429.T,6769.T
15,2413.T,1430.T,6787.T
16,2432.T,1433.T,6890.T
17,2501.T,1435.T,7564.T
18,2502.T,1446.T,7716.T
19,2503.T,1448.T,8909.T
20,2531.T,1514.T,
21,2768.T,1515.T,
22,2801.T,1518.T,
23,2802.T,1605.T,
24,2871.T,1662.T,
25,2914.T,1663.T,
26,3086.T,1712.T,
27,3099.T,1716.T,
28,3101.T,1717.T,
29,3103.T,1719.T,
30,3105.T,1720.T,
31,3289.T,1721.T,
32,3382.T,1726.T,
33,3401.T,1762.T,
34,3402.T,1766.T,
35,3405.T,1768.T,
36,3407.T,1780.T,
37,3436.T,1801.T,
38,3659.T,1802.T,
39,3861.T,1803.T,
40,3863.T,1805.T,
41,4004.T,1808.T,
42,4005.T,1810.T,
43,4021.T,1811.T,
44,4042.T,1812.T,
45,4043.T,1813.T,
46,4061.T,1814.T,
47,4063.T,1815.T,
48,4151.T,1820.T,
49,4183.T,1821.T,
50,4188.T,1822.T,
51,4208.T,1824.T,
52,4324.T,1826.T,
53,4452.T,1827.T,
54,4502.T,1833.T,
55,4503.T,1835.T,
56,4506.T,1847.T,
57,4507.T,1848.T,
58,4519.T,1852.T,
59,4523.T,1860.T,
60,4543.T,1861.T,
61,4568.T,1866.T,
62,4578.T,1867.T,
63,4631.T,1870.T,
64,4689.T,1871.T,
65,4704.T,1873.T,
66,4751.T,1878.T,
67,4755.T,1879.T,
68,4901.T,1881.T,
69,4902.T,1882.T,
70,4911.T,1883.T,
71,5019.T,1884.T,
72,5020.T,1885.T,
73,5101.T,1887.T,
