,n_225,topix,jasdaq_20
74,5108.T,1888.T,
75,5201.T,1890.T,
76,5202.T,1893.T,
77,5214.T,1898.T,
78,5232.T,1899.T,
79,5233.T,1909.T,
80,5301.T,1911.T,
81,5332.T,1914.T,
82,5333.T,1921.T,
83,5401.T,1925.T,
84,5406.T,1926.T,
85,5411.T,1928.T,
86,5541.T,1929.T,
87,5631.T,1930.T,
88,5703.T,1934.T,
89,5706.T,1938.T,
90,5707.T,1939.T,
91,5711.T,1941.T,
92,5713.T,1942.T,
93,5714.T,1944.T,
94,5801.T,1945.T,
95,5802.T,1946.T,
96,5803.T,1949.T,
97,5901.T,1950.T,
98,6098.T,1951.T,
99,6103.T,1952.T,
100,6113.T,1954.T,
101,6178.T,1959.T,
102,6301.T,1961.T,
103,6302.T,1963.T,
104,6305.T,1964.T,
105,6326.T,1967.T,
106,6361.T,1968.T,
107,6367.T,1969.T,
108,6471.T,1972.T,
109,6472.T,1973.T,
110,6473.T,1975.T,
111,6479.T,1976.T,
112,6501.T,1979.T,
113,6503.T,1980.T,
114,6504.T,1982.T,
115,6506.T,2001.T,
116,6645.T,2002.T,
117,6674.T,2003.T,
118,6701.T,2004.T,
119,6702.T,2009.T,
120,6703.T,2053.T,
121,6724.T,2060.T,
122,6752.T,2107.T,
123,6753.T,2108.T,
124,6758.T,2109.T,
125,6762.T,2112.T,
126,6770.T,2117.T,
127,6841.T,2120.T,
128,6857.T,2121.T,
129,6902.T,2124.T,
130,6952.T,2127.T,
131,6954.T,2130.T,
132,6971.T,2139.T,
133,6976.T,2146.T,
134,6988.T,2148.T,
135,7003.T,2151.T,
136,7004.T,2153.T,
137,7011.T,2154.T,
138,7012.T,2157.T,
139,7013.T,2163.T,
140,7186.T,2168.T,
141,7201.T,2169.T,
142,7202.T,2170.T,
143,7203.T,2174.T,
144,7205.T,2175.T,
145,7211.T,2180.T,
146,7261.T,2181.T,
147,7267.T,2183.T,
148,7269.T,2193.T,
149,7270.T,2196.T,
150,7272.T,2198.T,
151,7731.T,2201.T,
152,7733.T,2204.T,
153,7735.T,2206.T,
154,7751.T,2207.T,
155,7752.T,2209.T,
156,7762.T,2211.T,
157,7832.T,2212.T,
158,7911.T,2215.T,
159,7912.T,2217.T,
160,7951.T,2220.T,
161,8001.T,2222.T,
162,8002.T,2229.T,
163,8015.T,2264.T,
164,8031.T,2266.T,
165,8035.T,2267.T,
166,8053.T,2269.T,
167,8058.T,2270.T,
168,8233.T,2281.T,
169,8252.T,2282.T,
170,8253.T,2286.T,
171,8267.T,2288.T,
172,8303.T,2292.T,
173,8304.T,2294.T,
174,8306.T,2296.T,
175,8308.T,2301.T,
176,8309.T,2305.T,
177,8316.T,2307.T,
178,8331.T,2309.T,
179,8354.T,2311.T,
180,8355.T,2317.T,
181,8411.T,2325.T,
182,8601.T,2326.T,
183,8604.T,2327.T,
184,8628.T,2331.T,
185,8630.T,2335.T,
186,8697.T,2337.T,
187,8725.T,2352.T,
188,8750.T,2353.T,
189,8766.T,2359.T,
190,8795.T,2371.T,
191,8801.T,2372.T,
192,8802.T,2374.T,
193,8804.T,2376.T,
194,8830.T,2378.T,
195,9001.T,2379.T,
196,9005.T,2384.T,
197,9007.T,2389.T,
198,9008.T,2395.T,
199,9009.T,2398.T,
200,9020.T,2410.T,
201,9021.T,2412.T,
202,9022.T,2413.T,
203,9062.T,2418.T,
204,9064.T,2424.T,
205,9101.T,2427.T,
206,9104.T,2428.T,
207,9107.T,2429.T,
208,9202.T,2432.T,
209,9301.T,2433.T,
210,9412.T,2440.T,
211,9432.T,2445.T,
212,9433.T,2453.T,
213,9434.T,2461.T,
214,9501.T,2462.T,
215,9502.T,2464.T,
216,9503.T,2471.T,
217,9531.T,2475.T,
218,9532.T,2477.T,
219,9602.T,2485.T,
220,9613.T,2487.T,
221,9735.T,2491.T,
222,9766.T,2492.T,
223,9983.T,2501.T,
224,9984.T,2502.T,
225,,2503.T,
226,,2531.T,
227,,2533.T,
228,,2540.T,
229,,2579.T,
230,,2587.T,
231,,2590.T,
232,,2593.T,
233,,2594.T,
234,,2597.T,
235,,2599.T,
236,,2602.T,
237,,2607.T,
238,,2612.T,
239,,2613.T,
240,,2651.T,
241,,2659.T,
242,,2664.T,
243,,2670.T,
244,,2674.T,
245,,2676.T,
246,,2678.T,
247,,2681.T,
248,,2685.T,
249,,2686.T,
250,,2687.T,
251,,2689.T,
252,,2692.T,
253,,2695.T,
254,,2698.T,
255,,2715.T,
256,,2726.T,
257,,2729.T,
258,,2730.T,
259,,2733.T,
260,,2734.T,
261,,2735.T,
262,,2737.T,
263,,2742.T,
264,,2749.T,
265,,2752.T,
266,,2753.T,
267,,2760.T,
268,,2764.T,
269,,2767.T,
270,,2768.T,
271,,2784.T,
272,,2791.T,
273,,2792.T,
274,,2796.T,
275,,2801.T,
276,,2802.T,
277,,2809.T,
278,,2810.T,
279,,2811.T,
280,,2812.T,
281,,2815.T,
282,,2818.T,
283,,2819.T,
284,,2820.T,
285,,2871.T,
286,,2874.T,
287,,2875.T,
288,,2882.T,
289,,2883.T,
290,,2884.T,
291,,2897.T,
292,,2899.T,
293,,2904.T,
294,,2908.T,
295,,2910.T,
296,,2914.T,
297,,2915.T,
298,,2918.T,
299,,2922.T,
300,,2924.T,
301,,2925.T,
302,,2930.T,
303,,2931.T,
304,,2975.T,
305,,2982.T,
306,,3001.T,
307,,3002.T,
308,,3003.T,
309,,3004.T,
310,,3023.T,
311,,3028.T,
312,,3030.T,
313,,3031.T,
314,,3034.T,
315,,3036.T,
316,,3038.T,
317,,3040.T,
318,,3046.T,
319,,3048.T,
320,,3050.T,
321,,3053.T,
322,,3054.T,
323,,3064.T,
324,,3067.T,
325,,3073.T,
326,,3076.T,
327,,3079.T,
328,,3082.T,
329,,3085.T,
330,,3086.T,
331,,3087.T,
332,,3088.T,
333,,3091.T,
334,,3092.T,
335,,3093.T,
336,,3097.T,
337,,3098.T,
338,,3099.T,
339,,3101.T,
340,,3103.T,
341,,3104.T,
342,,3105.T,
343,,3106.T,
344,,3107.T,
345,,3109.T,
346,,3110.T,
347,,3116.T,
348,,3132.T,
349,,3134.T,
350,,3139.T,
351,,3141.T,
352,,3148.T,
353,,3150.T,
354,,3151.T,
355,,3153.T,
356,,3154.T,
357,,3156.T,
358,,3157.T,
359,,3159.T,
360,,3160.T,
361,,3166.T,
362,,3167.T,
363,,3168.T,
364,,3169.T,
365,,3172.T,
366,,3173.T,
367,,3175.T,
368,,3176.T,
369,,3178.T,
370,,3179.T,
371,,3180.T,
372,,3182.T,
373,,3183.T,
374,,3186.T,
375,,3191.T,
376,,3193.T,
377,,3194.T,
378,,3196.T,
379,,3197.T,
380,,3198.T,
381,,3199.T,
382,,3201.T,
383,,3202.T,
384,,3204.T,
385,,3205.T,
386,,3221.T,
387,,3222.T,
388,,3228.T,
389,,3231.T,
390,,3232.T,
391,,3244.T,
392,,3245.T,
393,,3246.T,
394,,3252.T,
395,,3254.T,
396,,3267.T,
397,,3271.T,
398,,3275.T,
399,,3276.T,
400,,3277.T,
401,,3280.T,
402,,3284.T,
403,,3288.T,
404,,3289.T,
405,,3291.T,
406,,3294.T,
407,,3299.T,
408,,3302.T,
409,,3315.T,
410,,3319.T,
411,,3321.T,
412,,3328.T,
413,,3333.T,
414,,3341.T,
415,,3349.T,
416,,3360.T,
417,,3361.T,
418,,3371.T,
419,,3376.T,
420,,3382.T,
421,,3387.T,
422,,3388.T,
423,,3391.T,
424,,3392.T,
425,,3393.T,
426,,3395.T,
427,,3396.T,
428,,3397.T,
429,,3401.T,
430,,3402.T,
431,,3405.T,
432,,3407.T,
433,,3408.T,
434,,3415.T,
435,,3421.T,
436,,3431.T,
437,,3433.T,
438,,3434.T,
439,,3436.T,
440,,3443.T,
441,,3445.T,
442,,3446.T,
443,,3447.T,
444,,3452.T,
445,,3454.T,
446,,3457.T,
447,,3458.T,
448,,3464.T,
449,,3465.T,
450,,3467.T,
451,,3475.T,
452,,3480.T,
453,,3484.T,
454,,3486.T,
455,,3501.T,
456,,3512.T,
457,,3513.T,
458,,3521.T,
459,,3524.T,
460,,3526.T,
461,,3529.T,
462,,3538.T,
463,,3539.T,
464,,3543.T,
465,,3544.T,
466,,3546.T,
467,,3547.T,
468,,3548.T,
469,,3549.T,
470,,3551.T,
471,,3553.T,
472,,3559.T,
473,,3561.T,
474,,3563.T,
475,,3565.T,
476,,3569.T,
477,,3571.T,
478,,3577.T,
479,,3580.T,
480,,3591.T,
481,,3593.T,
482,,3607.T,
483,,3608.T,
484,,3611.T,
485,,3612.T,
486,,3626.T,
487,,3627.T,
488,,3630.T,
489,,3632.T,
490,,3635.T,
491,,3636.T,
492,,3639.T,
493,,3640.T,
494,,3648.T,
495,,3649.T,
496,,3655.T,
497,,3656.T,
498,,3657.T,
499,,3658.T,
500,,3659.T,
501,,3660.T,
502,,3661.T,
503,,3662.T,
504,,3665.T,
505,,3666.T,
506,,3667.T,
507,,3668.T,
508,,3672.T,
509,,3673.T,
510,,3675.T,
511,,3676.T,
512,,3677.T,
513,,3678.T,
514,,3679.T,
515,,3681.T,
516,,3682.T,
517,,3683.T,
518,,3686.T,
519,,3687.T,
520,,3688.T,
521,,3694.T,
522,,3696.T,
523,,3697.T,
524,,3708.T,
525,,3738.T,
526,,3741.T,
527,,3751.T,
528,,3762.T,
529,,3763.T,
530,,3765.T,
531,,3769.T,
532,,3770.T,
533,,3771.T,
534,,3774.T,
535,,3778.T,
536,,3784.T,
537,,3788.T,
538,,3817.T,
539,,3826.T,
540,,3834.T,
541,,3835.T,
542,,3836.T,
543,,3837.T,
544,,3843.T,
545,,3844.T,
546,,3852.T,
547,,3853.T,
548,,3854.T,
549,,3861.T,
550,,3863.T,
551,,3864.T,
552,,3865.T,
553,,3877.T,
554,,3878.T,
555,,3880.T,
556,,3896.T,
557,,3901.T,
558,,3902.T,
559,,3903.T,
560,,3909.T,
561,,3912.T,
562,,3915.T,
563,,3916.T,
564,,3918.T,
565,,3919.T,
566,,3920.T,
567,,3921.T,
568,,3922.T,
569,,3924.T,
570,,3925.T,
571,,3926.T,
572,,3928.T,
573,,3932.T,
574,,3934.T,
575,,3937.T,
576,,3938.T,
577,,3939.T,
578,,3940.T,
579,,3941.T,
580,,3946.T,
581,,3950.T,
582,,3962.T,
583,,3963.T,
584,,3964.T,
585,,3968.T,
586,,3969.T,
587,,3975.T,
588,,3978.T,
589,,3981.T,
590,,3983.T,
591,,3984.T,
592,,3985.T,
593,,3992.T,
594,,3996.T,
595,,4004.T,
596,,4005.T,
597,,4008.T,
598,,4021.T,
599,,4022.T,
600,,4023.T,
601,,4025.T,
602,,4027.T,
603,,4028.T,
604,,4031.T,
605,,4041.T,
606,,4042.T,
607,,4043.T,
608,,4044.T,
609,,4045.T,
610,,4046.T,
611,,4047.T,
612,,4061.T,
613,,4062.T,
614,,4063.T,
615,,4064.T,
616,,4078.T,
617,,4082.T,
618,,4088.T,
619,,4091.T,
620,,4092.T,
621,,4093.T,
622,,4095.T,
623,,4097.T,
624,,4098.T,
625,,4099.T,
626,,4100.T,
627,,4109.T,
628,,4112.T,
629,,4114.T,
630,,4116.T,
631,,4118.T,
632,,4151.T,
633,,4182.T,
634,,4183.T,
635,,4185.T,
636,,4186.T,
637,,4187.T,
638,,4188.T,
639,,4189.T,
640,,4202.T,
641,,4203.T,
642,,4204.T,
643,,4205.T,
644,,4206.T,
645,,4208.T,
646,,4212.T,
647,,4215.T,
648,,4216.T,
649,,4218.T,
650,,4220.T,
651,,4221.T,
652,,4228.T,
653,,4229.T,
654,,4231.T,
655,,4238.T,
656,,4245.T,
657,,4246.T,
658,,4248.T,
659,,4249.T,
660,,4272.T,
661,,4275.T,
662,,4282.T,
663,,4284.T,
664,,4286.T,
665,,4290.T,
666,,4295.T,
667,,4298.T,
668,,4299.T,
669,,4301.T,
670,,4307.T,
671,,4310.T,
672,,4312.T,
673,,4318.T,
674,,4319.T,
675,,4320.T,
676,,4321.T,
677,,4323.T,
678,,4324.T,
679,,4326.T,
680,,4331.T,
681,,4333.T,
682,,4337.T,
683,,4343.T,
684,,4344.T,
685,,4345.T,
686,,4346.T,
687,,4348.T,
688,,4350.T,
689,,4362.T,
690,,4368.T,
691,,4369.T,
692,,4382.T,
693,,4384.T,
694,,4392.T,
695,,4396.T,
696,,4401.T,
697,,4403.T,
698,,4404.T,
699,,4406.T,
700,,4410.T,
701,,4420.T,
702,,4423.T,
703,,4427.T,
704,,4430.T,
705,,4433.T,
706,,4439.T,
707,,4440.T,
708,,4441.T,
709,,4446.T,
710,,4452.T,
711,,4461.T,
712,,4462.T,
713,,4463.T,
714,,4465.T,
715,,4471.T,
716,,4502.T,
717,,4503.T,
718,,4506.T,
719,,4507.T,
720,,4512.T,
721,,4514.T,
722,,4516.T,
723,,4517.T,
724,,4519.T,
725,,4521.T,
726,,4523.T,
727,,4526.T,
728,,4527.T,
729,,4528.T,
730,,4530.T,
731,,4531.T,
732,,4534.T,
733,,4536.T,
734,,4538.T,
735,,4539.T,
736,,4540.T,
737,,4541.T,
738,,4543.T,
739,,4544.T,
740,,4547.T,
741,,4548.T,
742,,4549.T,
743,,4550.T,
744,,4551.T,
745,,4552.T,
746,,4553.T,
747,,4554.T,
748,,4555.T,
749,,4559.T,
750,,4568.T,
751,,4569.T,
752,,4574.T,
753,,4577.T,
754,,4578.T,
755,,4581.T,
756,,4587.T,
757,,4611.T,
758,,4612.T,
759,,4613.T,
760,,4615.T,
761,,4617.T,
762,,4619.T,
763,,4620.T,
764,,4626.T,
765,,4631.T,
766,,4633.T,
767,,4634.T,
768,,4636.T,
769,,4641.T,
770,,4651.T,
771,,4653.T,
772,,4658.T,
773,,4661.T,
774,,4662.T,
775,,4665.T,
776,,4666.T,
777,,4668.T,
778,,4671.T,
779,,4674.T,
780,,4676.T,
781,,4678.T,
782,,4679.T,
783,,4680.T,
784,,4681.T,
785,,4684.T,
786,,4686.T,
787,,4687.T,
788,,4689.T,
789,,4694.T,
790,,4696.T,
791,,4704.T,
792,,4708.T,
793,,4709.T,
794,,4714.T,
795,,4716.T,
796,,4718.T,
797,,4719.T,
798,,4722.T,
799,,4725.T,
800,,4726.T,
801,,4728.T,
802,,4732.T,
803,,4733.T,
804,,4739.T,
805,,4743.T,
806,,4745.T,
807,,4746.T,
808,,4751.T,
809,,4755.T,
810,,4762.T,
811,,4763.T,
812,,4765.T,
813,,4767.T,
814,,4768.T,
815,,4776.T,
816,,4779.T,
817,,4792.T,
818,,4801.T,
819,,4809.T,
820,,4812.T,
821,,4813.T,
822,,4819.T,
823,,4820.T,
824,,4825.T,
825,,4826.T,
826,,4828.T,
827,,4829.T,
828,,4839.T,
829,,4845.T,
830,,4847.T,
831,,4848.T,
832,,4849.T,
833,,4901.T,
834,,4902.T,
835,,4911.T,
836,,4912.T,
837,,4914.T,
838,,4917.T,
839,,4919.T,
840,,4921.T,
841,,4922.T,
842,,4923.T,
843,,4926.T,
844,,4927.T,
845,,4928.T,
846,,4929.T,
847,,4951.T,
848,,4955.T,
849,,4956.T,
850,,4958.T,
851,,4963.T,
852,,4967.T,
853,,4968.T,
854,,4971.T,
855,,4973.T,
856,,4974.T,
857,,4975.T,
858,,4977.T,
859,,4979.T,
860,,4980.T,
861,,4985.T,
862,,4992.T,
863,,4994.T,
864,,4996.T,
865,,4997.T,
866,,5009.T,
867,,5011.T,
868,,5013.T,
869,,5015.T,
870,,5017.T,
871,,5018.T,
872,,5019.T,
873,,5020.T,
874,,5021.T,
875,,5101.T,
876,,5105.T,
877,,5108.T,
878,,5110.T,
879,,5121.T,
880,,5122.T,
881,,5142.T,
882,,5185.T,
883,,5186.T,
884,,5187.T,
885,,5191.T,
886,,5192.T,
887,,5195.T,
888,,5201.T,
889,,5202.T,
890,,5204.T,
891,,5208.T,
892,,5210.T,
893,,5214.T,
894,,5218.T,
895,,5232.T,
896,,5233.T,
897,,5261.T,
898,,5262.T,
899,,5269.T,
900,,5273.T,
901,,5288.T,
902,,5301.T,
903,,5302.T,
904,,5310.T,
905,,5331.T,
906,,5332.T,
907,,5333.T,
908,,5334.T,
909,,5337.T,
910,,5344.T,
911,,5351.T,
912,,5352.T,
913,,5357.T,
914,,5358.T,
915,,5363.T,
916,,5367.T,
917,,5384.T,
918,,5388.T,
919,,5391.T,
920,,5393.T,
921,,5401.T,
922,,5406.T,
923,,5408.T,
924,,5410.T,
925,,5411.T,
926,,5423.T,
927,,5440.T,
928,,5444.T,
929,,5445.T,
930,,5449.T,
931,,5451.T,
932,,5463.T,
933,,5464.T,
934,,5471.T,
935,,5476.T,
936,,5480.T,
937,,5481.T,
938,,5482.T,
939,,5486.T,
940,,5491.T,
941,,5541.T,
942,,5563.T,
943,,5602.T,
944,,5603.T,
945,,5612.T,
946,,5631.T,
947,,5632.T,
948,,5658.T,
949,,5659.T,
950,,5698.T,
951,,5702.T,
952,,5703.T,
953,,5706.T,
954,,5707.T,
955,,5711.T,
956,,5713.T,
957,,5714.T,
958,,5715.T,
959,,5721.T,
960,,5726.T,
961,,5727.T,
962,,5741.T,
963,,5757.T,
964,,5801.T,
965,,5802.T,
966,,5803.T,
967,,5805.T,
968,,5807.T,
969,,5809.T,
970,,5819.T,
971,,5821.T,
972,,5851.T,
973,,5852.T,
974,,5857.T,
975,,5901.T,
976,,5902.T,
977,,5909.T,
978,,5911.T,
979,,5912.T,
980,,5915.T,
981,,5923.T,
982,,5929.T,
983,,5930.T,
984,,5932.T,
985,,5933.T,
986,,5936.T,
987,,5938.T,
988,,5942.T,
989,,5943.T,
990,,5946.T,
991,,5947.T,
992,,5949.T,
993,,5951.T,
994,,5957.T,
995,,5958.T,
996,,5959.T,
997,,5970.T,
998,,5975.T,
999,,5976.T,
1000,,5981.T,
1001,,5985.T,
1002,,5986.T,
1003,,5988.T,
1004,,5989.T,
1005,,5991.T,
1006,,5992.T,
1007,,5998.T,
1008,,6005.T,
1009,,6013.T,
1010,,6028.T,
1011,,6029.T,
1012,,6032.T,
1013,,6035.T,
1014,,6036.T,
1015,,6037.T,
1016,,6044.T,
1017,,6047.T,
1018,,6048.T,
1019,,6050.T,
1020,,6054.T,
1021,,6055.T,
1022,,6058.T,
1023,,6059.T,
1024,,6062.T,
1025,,6070.T,
1026,,6071.T,
1027,,6073.T,
1028,,6077.T,
1029,,6078.T,
1030,,6080.T,
1031,,6082.T,
1032,,6083.T,
1033,,6087.T,
1034,,6088.T,
1035,,6089.T,
1036,,6093.T,
1037,,6095.T,
1038,,6096.T,
1039,,6098.T,
1040,,6099.T,
1041,,6101.T,
1042,,6103.T,
1043,,6104.T,
1044,,6113.T,
1045,,6118.T,
1046,,6121.T,
1047,,6134.T,
1048,,6135.T,
1049,,6136.T,
1050,,6138.T,
1051,,6140.T,
1052,,6141.T,
1053,,6143.T,
1054,,6146.T,
1055,,6151.T,
1056,,6157.T,
1057,,6165.T,
1058,,6167.T,
1059,,6171.T,
1060,,6175.T,
1061,,6178.T,
1062,,6183.T,
1063,,6184.T,
1064,,6185.T,
1065,,6186.T,
1066,,6187.T,
1067,,6189.T,
1068,,6191.T,
1069,,6192.T,
1070,,6194.T,
1071,,6196.T,
1072,,6197.T,
1073,,6199.T,
1074,,6200.T,
1075,,6201.T,
1076,,6203.T,
1077,,6205.T,
1078,,6208.T,
1079,,6210.T,
1080,,6217.T,
1081,,6218.T,
1082,,6222.T,
1083,,6235.T,
1084,,6236.T,
1085,,6237.T,
1086,,6238.T,
1087,,6240.T,
1088,,6247.T,
1089,,6250.T,
1090,,6258.T,
1091,,6262.T,
1092,,6264.T,
1093,,6266.T,
1094,,6268.T,
1095,,6269.T,
1096,,6272.T,
1097,,6273.T,
1098,,6277.T,
1099,,6278.T,
1100,,6282.T,
1101,,6284.T,
1102,,6287.T,
1103,,6289.T,
1104,,6291.T,
1105,,6292.T,
1106,,6293.T,
1107,,6294.T,
1108,,6298.T,
1109,,6301.T,
1110,,6302.T,
1111,,6305.T,
1112,,6306.T,
1113,,6309.T,
1114,,6310.T,
1115,,6315.T,
1116,,6316.T,
1117,,6317.T,
1118,,6319.T,
1119,,6323.T,
1120,,6325.T,
1121,,6326.T,
1122,,6328.T,
1123,,6330.T,
1124,,6331.T,
1125,,6332.T,
1126,,6333.T,
1127,,6335.T,
1128,,6339.T,
1129,,6340.T,
1130,,6345.T,
1131,,6349.T,
1132,,6351.T,
1133,,6355.T,
1134,,6356.T,
1135,,6358.T,
1136,,6361.T,
1137,,6362.T,
1138,,6363.T,
1139,,6364.T,
1140,,6367.T,
1141,,6368.T,
1142,,6369.T,
1143,,6370.T,
1144,,6371.T,
1145,,6373.T,
1146,,6376.T,
1147,,6378.T,
1148,,6379.T,
1149,,6381.T,
1150,,6383.T,
1151,,6387.T,
1152,,6390.T,
1153,,6393.T,
1154,,6395.T,
1155,,6406.T,
1156,,6407.T,
1157,,6409.T,
1158,,6412.T,
1159,,6413.T,
1160,,6417.T,
1161,,6418.T,
1162,,6419.T,
1163,,6420.T,
1164,,6428.T,
1165,,6430.T,
1166,,6432.T,
1167,,6436.T,
1168,,6440.T,
1169,,6444.T,
1170,,6445.T,
1171,,6448.T,
1172,,6454.T,
1173,,6455.T,
1174,,6457.T,
1175,,6458.T,
1176,,6459.T,
1177,,6460.T,
1178,,6461.T,
1179,,6462.T,
1180,,6463.T,
1181,,6464.T,
1182,,6465.T,
1183,,6470.T,
1184,,6471.T,
1185,,6472.T,
1186,,6473.T,
1187,,6474.T,
1188,,6479.T,
1189,,6480.T,
1190,,6481.T,
1191,,6482.T,
1192,,6485.T,
1193,,6486.T,
1194,,6489.T,
1195,,6490.T,
1196,,6498.T,
1197,,6501.T,
1198,,6503.T,
1199,,6504.T,
1200,,6505.T,
1201,,6506.T,
1202,,6507.T,
1203,,6508.T,
1204,,6513.T,
1205,,6516.T,
1206,,6517.T,
1207,,6532.T,
1208,,6533.T,
1209,,6535.T,
1210,,6538.T,
1211,,6539.T,
1212,,6540.T,
1213,,6541.T,
1214,,6544.T,
1215,,6546.T,
1216,,6547.T,
1217,,6551.T,
1218,,6552.T,
1219,,6553.T,
1220,,6555.T,
1221,,6560.T,
1222,,6564.T,
1223,,6569.T,
1224,,6571.T,
1225,,6572.T,
1226,,6584.T,
1227,,6586.T,
1228,,6588.T,
1229,,6590.T,
1230,,6592.T,
1231,,6594.T,
1232,,6615.T,
1233,,6616.T,
1234,,6617.T,
1235,,6619.T,
1236,,6620.T,
1237,,6622.T,
1238,,6630.T,
1239,,6632.T,
1240,,6638.T,
1241,,6640.T,
1242,,6641.T,
1243,,6644.T,
1244,,6645.T,
1245,,6651.T,
1246,,6652.T,
1247,,6653.T,
1248,,6654.T,
1249,,6674.T,
1250,,6675.T,
1251,,6676.T,
1252,,6678.T,
1253,,6699.T,
1254,,6701.T,
1255,,6702.T,
1256,,6703.T,
1257,,6704.T,
1258,,6706.T,
1259,,6707.T,
1260,,6715.T,
1261,,6718.T,
1262,,6723.T,
1263,,6724.T,
1264,,6727.T,
1265,,6728.T,
1266,,6730.T,
1267,,6737.T,
1268,,6740.T,
1269,,6741.T,
1270,,6742.T,
1271,,6744.T,
1272,,6745.T,
1273,,6748.T,
1274,,6750.T,
1275,,6752.T,
1276,,6753.T,
1277,,6754.T,
1278,,6755.T,
1279,,6758.T,
1280,,6762.T,
1281,,6763.T,
1282,,6768.T,
1283,,6770.T,
1284,,6771.T,
1285,,6779.T,
1286,,6785.T,
1287,,6788.T,
1288,,6789.T,
1289,,6794.T,
1290,,6798.T,
1291,,6800.T,
1292,,6803.T,
1293,,6804.T,
1294,,6806.T,
1295,,6807.T,
1296,,6809.T,
1297,,6810.T,
1298,,6814.T,
1299,,6815.T,
1300,,6817.T,
1301,,6820.T,
1302,,6823.T,
1303,,6826.T,
1304,,6839.T,
1305,,6841.T,
1306,,6844.T,
1307,,6845.T,
1308,,6848.T,
1309,,6849.T,
1310,,6850.T,
1311,,6853.T,
1312,,6855.T,
1313,,6856.T,
1314,,6857.T,
1315,,6858.T,
1316,,6859.T,
1317,,6861.T,
1318,,6866.T,
1319,,6869.T,
1320,,6871.T,
1321,,6875.T,
1322,,6877.T,
1323,,6879.T,
1324,,6901.T,
1325,,6902.T,
1326,,6904.T,
1327,,6905.T,
1328,,6908.T,
1329,,6914.T,
1330,,6915.T,
1331,,6916.T,
1332,,6920.T,
1333,,6923.T,
1334,,6924.T,
1335,,6925.T,
1336,,6926.T,
1337,,6927.T,
1338,,6928.T,
1339,,6929.T,
1340,,6932.T,
1341,,6937.T,
1342,,6938.T,
1343,,6941.T,
1344,,6947.T,
1345,,6951.T,
1346,,6952.T,
1347,,6954.T,
1348,,6958.T,
1349,,6961.T,
1350,,6962.T,
1351,,6963.T,
1352,,6965.T,
1353,,6966.T,
1354,,6967.T,
1355,,6971.T,
1356,,6973.T,
1357,,6976.T,
1358,,6981.T,
1359,,6986.T,
1360,,6988.T,
1361,,6989.T,
1362,,6995.T,
1363,,6996.T,
1364,,6997.T,
1365,,6999.T,
1366,,7003.T,
1367,,7004.T,
1368,,7011.T,
1369,,7012.T,
1370,,7013.T,
1371,,7014.T,
1372,,7022.T,
1373,,7030.T,
1374,,7033.T,
1375,,7034.T,
1376,,7035.T,
1377,,7037.T,
1378,,7038.T,
1379,,7044.T,
1380,,7059.T,
1381,,7060.T,
1382,,7085.T,
1383,,7088.T,
1384,,7102.T,
1385,,7105.T,
1386,,7122.T,
1387,,7148.T,
1388,,7150.T,
1389,,7161.T,
1390,,7164.T,
1391,,7167.T,
1392,,7172.T,
1393,,7173.T,
1394,,7180.T,
1395,,7181.T,
1396,,7182.T,
1397,,7184.T,
