code,name
1301,Kyokuyo Co. Ltd. (1301) Adjusted Stock Prices
1332,Nippon Suisan Kaisha Ltd. (1332) Adjusted Stock Prices
1333,Maruha Nichiro Corporation (1333) Adjusted Stock Prices
1352,Hohsui Corporation (1352) Adjusted Stock Prices
1376,Kaneko Seeds Co. Ltd (1376) Adjusted Stock Prices
1379,Hokuto Corporation (1379) Adjusted Stock Prices
1377,Sakata Seed Corporation (1377) Adjusted Stock Prices
1380,Akikawa Foods & Farms Co. Ltd. (1380) Adjusted Stock Prices
1381,"AXYZ Co., Ltd. (1381) Adjusted Stock Prices"
1382,HOB Co.Ltd (1382) Adjusted Stock Prices
1383,Berg Earth co ltd. (1383) Adjusted Stock Prices
1384,Hokuryo Co.Ltd (1384) Adjusted Stock Prices
1400,Ruden Holdings Co Ltd (1400) Adjusted Stock Prices
1401,MBS Inc. (1401) Adjusted Stock Prices
1407,West Holdings Corp. (1407) Adjusted Stock Prices
1413,"Hinokiya Holdings Co.,Ltd"
1414,"Sho-Bond Holdings Co., Ltd. (1414) Adjusted Stock Prices"
1417,MIRAIT Holdings Corporation (1417) Adjusted Stock Prices
1418,"Interlife Holdings Co.,Ltd. (1418) Adjusted Stock Prices"
1419,Tama Home Co Ltd. (1419) Adjusted Stock Prices
1420,Sanyo Homes Corporation (1420) Adjusted Stock Prices
1429,Nippon Aqua Co.Ltd (1429) Adjusted Stock Prices
1430,First-corporation Inc (1430) Adjusted Stock Prices
1431,"Lib Work Co.,Ltd. "
1433,Besterra Co. Ltd. (1433) Adjusted Stock Prices
1434,Jesco Holdings Inc (1434) Adjusted Stock Prices
1435,Investors Cloud Co.Ltd. (1435) Adjusted Stock Prices
1436,Fit Inc. (1436) Adjusted Stock Prices
1439,Yasue Corporation (1439) Adjusted Stock Prices
1443,"Giken Holdings Co.,Ltd. **"
1446,"CANDEAL CO.,Ltd "
1447,"ITbook Holdings Co.,LTD. **"
1448,"SPACE VALUE HOLDINGS CO.,LTD. **"
1450,TANAKEN
1451,KHC Ltd.
1491,Chugai Mining Co Ltd (1491) Adjusted Stock Prices
1514,"Sumiseki Holdings, Inc (1514) Adjusted Stock Prices"
1515,Nittetsu Mining Co. Ltd. (1515) Adjusted Stock Prices
1518,Mitsui Matsushima Co. Ltd. (1518) Adjusted Stock Prices
1605,Inpex Corporation (1605) Adjusted Stock Prices
1662,"Japan Petroleum Exploration Co.,Ltd. (1662) Adjusted Stock Prices"
1663,K&O Energy Group Inc (1663) Adjusted Stock Prices
1711,Shodensya Co. Ltd. (1711) Adjusted Stock Prices
1712,Daiseki Eco. Solution Co. Ltd. (1712) Adjusted Stock Prices
1716,Dai-Ichi Cutter Kogyo KK (1716) Adjusted Stock Prices
1717,Meiho Facility Works (1717) Adjusted Stock Prices
1718,Mikikogyo Co (1718) Adjusted Stock Prices
1719,Hazama Ando Corporation (1719) Adjusted Stock Prices
1720,"Tokyu Construction Co.,Ltd. (1720) Adjusted Stock Prices"
1721,Comsys Holdings Co (1721) Adjusted Stock Prices
1723,Nihon Dengi Co (1723) Adjusted Stock Prices
1724,Synclayer Inc (1724) Adjusted Stock Prices
1726,Br.Holdings Corp. (1726) Adjusted Stock Prices
1728,Misawa Homes Chugoku Co (1728) Adjusted Stock Prices
1730,Aso Foam Crete Co Ltd (1730) Adjusted Stock Prices
1736,Otec Corporation (1736) Adjusted Stock Prices
1737,Mesco Inc. (1737) Adjusted Stock Prices
1739,Seedheiwa Co. Ltd (1739) Adjusted Stock Prices
1743,Koatsu Kogyo Co. Ltd (1743) Adjusted Stock Prices
1757,"Crea Holdings,Inc. (1757) Adjusted Stock Prices"
1758,Taiyo Kisokogyo Co. Ltd. (1758) Adjusted Stock Prices
1762,Takamatsu Construction Group Co. Ltd (1762) Adjusted Stock Prices
1764,Kudo Corporation (1764) Adjusted Stock Prices
1766,Token Corporation (1766) Adjusted Stock Prices
1768,Sonec Corporation (1768) Adjusted Stock Prices
1770,Fujita Engineering Co Ltd (1770) Adjusted Stock Prices
1775,Fuji Furukawa Engineering & Construction Co.Ltd. (1775) Adjusted Stock Prices
1776,"Sumiken Mitsui Road Co.,Ltd. (1776) Adjusted Stock Prices"
1780,Yamaura Corporation (1780) Adjusted Stock Prices
1782,Joban Kaihatsu Co. Ltd (1782) Adjusted Stock Prices
1783,Asia Gate Holdings Co.Ltd (1783) Adjusted Stock Prices
1787,"nakabohtec Corrosion Protecting Co., Ltd. (1787) Adjusted Stock Prices"
1788,Santo Co. Ltd. (1788) Adjusted Stock Prices
1789,"Yamaka Electric Construction Co., Ltd. (1789) Adjusted Stock Prices"
1793,"Ohmoto Gumi Co., Ltd. (1793) Adjusted Stock Prices"
1795,Masaru Corporation (1795) Adjusted Stock Prices
1798,Moriya Corporation (1798) Adjusted Stock Prices
1799,Daiichi Kensetsu Corporation (1799) Adjusted Stock Prices
1801,Taisei Corporation (1801) Adjusted Stock Prices
1802,Obayashi Corporation (1802) Adjusted Stock Prices
1803,Shimizu Corporation (1803) Adjusted Stock Prices
1805,Tobishima Corporation (1805) Adjusted Stock Prices
1807,"Watanabe Sato Co., Ltd. (1807) Adjusted Stock Prices"
1808,Haseko Corporation (1808) Adjusted Stock Prices
1810,Matsui Construction Co. Ltd. (1810) Adjusted Stock Prices
1811,Zenitaka Corporation (1811) Adjusted Stock Prices
1812,Kajima Corporation (1812) Adjusted Stock Prices
1813,Fudo Tetra Corp. (1813) Adjusted Stock Prices
