n_225,topix,jasdaq_20
1332.T,1301.T,1407.T
1333.T,1332.T,2138.T
1605.T,1333.T,2362.T
1721.T,1352.T,2656.T
1801.T,1375.T,2702.T
1802.T,1376.T,2706.T
1803.T,1377.T,2782.T
1808.T,1379.T,3858.T
1812.T,1384.T,4080.T
1925.T,1413.T,4293.T
1928.T,1414.T,4667.T
1963.T,1417.T,4970.T
2002.T,1419.T,6324.T
2269.T,1420.T,6425.T
2282.T,1429.T,6769.T
2413.T,1430.T,6787.T
2432.T,1433.T,6890.T
2501.T,1435.T,7564.T
2502.T,1446.T,7716.T
2503.T,1448.T,8909.T
2531.T,1514.T,
2768.T,1515.T,
2801.T,1518.T,
2802.T,1605.T,
2871.T,1662.T,
2914.T,1663.T,
3086.T,1712.T,
3099.T,1716.T,
3101.T,1717.T,
3103.T,1719.T,
3105.T,1720.T,
3289.T,1721.T,
3382.T,1726.T,
3401.T,1762.T,
3402.T,1766.T,
3405.T,1768.T,
3407.T,1780.T,
3436.T,1801.T,
3659.T,1802.T,
3861.T,1803.T,
3863.T,1805.T,
4004.T,1808.T,
4005.T,1810.T,
4021.T,1811.T,
4042.T,1812.T,
4043.T,1813.T,
4061.T,1814.T,
4063.T,1815.T,
4151.T,1820.T,
4183.T,1821.T,
4188.T,1822.T,
4208.T,1824.T,
4324.T,1826.T,
4452.T,1827.T,
4502.T,1833.T,
4503.T,1835.T,
4506.T,1847.T,
4507.T,1848.T,
4519.T,1852.T,
4523.T,1860.T,
4543.T,1861.T,
4568.T,1866.T,
4578.T,1867.T,
4631.T,1870.T,
4689.T,1871.T,
4704.T,1873.T,
4751.T,1878.T,
4755.T,1879.T,
4901.T,1881.T,
4902.T,1882.T,
4911.T,1883.T,
5019.T,1884.T,
5020.T,1885.T,
5101.T,1887.T,
5108.T,1888.T,
5201.T,1890.T,
5202.T,1893.T,
5214.T,1898.T,
5232.T,1899.T,
5233.T,1909.T,
5301.T,1911.T,
5332.T,1914.T,
5333.T,1921.T,
5401.T,1925.T,
5406.T,1926.T,
5411.T,1928.T,
5541.T,1929.T,
5631.T,1930.T,
5703.T,1934.T,
5706.T,1938.T,
5707.T,1939.T,
5711.T,1941.T,
5713.T,1942.T,
5714.T,1944.T,
5801.T,1945.T,
5802.T,1946.T,
5803.T,1949.T,
5901.T,1950.T,
6098.T,1951.T,
6103.T,1952.T,
6113.T,1954.T,
6178.T,1959.T,
6301.T,1961.T,
6302.T,1963.T,
6305.T,1964.T,
6326.T,1967.T,
6361.T,1968.T,
6367.T,1969.T,
6471.T,1972.T,
6472.T,1973.T,
6473.T,1975.T,
6479.T,1976.T,
6501.T,1979.T,
6503.T,1980.T,
6504.T,1982.T,
6506.T,2001.T,
6645.T,2002.T,
6674.T,2003.T,
6701.T,2004.T,
6702.T,2009.T,
6703.T,2053.T,
6724.T,2060.T,
6752.T,2107.T,
6753.T,2108.T,
6758.T,2109.T,
6762.T,2112.T,
6770.T,2117.T,
6841.T,2120.T,
6857.T,2121.T,
6902.T,2124.T,
6952.T,2127.T,
6954.T,2130.T,
6971.T,2139.T,
6976.T,2146.T,
6988.T,2148.T,
7003.T,2151.T,
7004.T,2153.T,
7011.T,2154.T,
7012.T,2157.T,
7013.T,2163.T,
7186.T,2168.T,
7201.T,2169.T,
7202.T,2170.T,
7203.T,2174.T,
7205.T,2175.T,
7211.T,2180.T,
7261.T,2181.T,
7267.T,2183.T,
7269.T,2193.T,
7270.T,2196.T,
7272.T,2198.T,
7731.T,2201.T,
7733.T,2204.T,
7735.T,2206.T,
7751.T,2207.T,
7752.T,2209.T,
7762.T,2211.T,
7832.T,2212.T,
7911.T,2215.T,
7912.T,2217.T,
7951.T,2220.T,
8001.T,2222.T,
8002.T,2229.T,
8015.T,2264.T,
8031.T,2266.T,
8035.T,2267.T,
8053.T,2269.T,
8058.T,2270.T,
8233.T,2281.T,
8252.T,2282.T,
8253.T,2286.T,
8267.T,2288.T,
8303.T,2292.T,
8304.T,2294.T,
8306.T,2296.T,
8308.T,2301.T,
8309.T,2305.T,
8316.T,2307.T,
8331.T,2309.T,
8354.T,2311.T,
8355.T,2317.T,
8411.T,2325.T,
8601.T,2326.T,
8604.T,2327.T,
8628.T,2331.T,
8630.T,2335.T,
8697.T,2337.T,
8725.T,2352.T,
8750.T,2353.T,
8766.T,2359.T,
8795.T,2371.T,
8801.T,2372.T,
8802.T,2374.T,
8804.T,2376.T,
8830.T,2378.T,
9001.T,2379.T,
9005.T,2384.T,
9007.T,2389.T,
9008.T,2395.T,
9009.T,2398.T,
9020.T,2410.T,
9021.T,2412.T,
9022.T,2413.T,
9062.T,2418.T,
9064.T,2424.T,
9101.T,2427.T,
9104.T,2428.T,
9107.T,2429.T,
9202.T,2432.T,
9301.T,2433.T,
9412.T,2440.T,
9432.T,2445.T,
9433.T,2453.T,
9434.T,2461.T,
9501.T,2462.T,
9502.T,2464.T,
9503.T,2471.T,
9531.T,2475.T,
9532.T,2477.T,
9602.T,2485.T,
9613.T,2487.T,
9735.T,2491.T,
9766.T,2492.T,
9983.T,2501.T,
9984.T,2502.T,
,2503.T,
,2531.T,
,2533.T,
,2540.T,
,2579.T,
,2587.T,
,2590.T,
,2593.T,
,2594.T,
,2597.T,
,2599.T,
,2602.T,
,2607.T,
,2612.T,
,2613.T,
,2651.T,
